agegroup,mode_group,weighted_trips,percentage
0->4,Active transport,174329.002573078,17.19
0->4,Car,827276.633452589,81.58
0->4,Other motorised,5558.098875782,0.55
0->4,Public transport,6924.40172614,0.68
10->14,Active transport,240448.315850775,22.79
10->14,Car,699084.930815976,66.27
10->14,Other,6957.57501022,0.66
10->14,Public transport,63054.369322299,5.98
10->14,School transport,45404.558356835,4.3
15->19,Active transport,118888.920971087,15.69
15->19,Car,518912.399436007,68.49
15->19,Other motorised,1040.0332582659998,0.14
15->19,Public transport,103390.861871655,13.65
15->19,School transport,15431.455384184,2.04
20->24,Active transport,189094.224921831,18.29
20->24,Car,691070.173646492,66.83
20->24,Other motorised,13037.519190722,1.26
20->24,Public transport,140801.966044432,13.62
25->29,Active transport,305772.387684043,24.18
25->29,Car,811727.469422291,64.19
25->29,Other,989.697862072,0.08
25->29,Other motorised,17274.878545977,1.37
25->29,Public transport,128782.95772152,10.18
30->34,Active transport,271795.73481413,17.37
30->34,Car,1163032.521475774,74.35
30->34,Other motorised,21745.447582229,1.39
30->34,Public transport,107794.705390018,6.89
35->39,Active transport,298666.56877112,16.82
35->39,Car,1393450.109357549,78.49
35->39,Other motorised,10120.465680301,0.57
35->39,Public transport,73097.023309279,4.12
40->44,Active transport,254749.301823271,16.49
40->44,Car,1230276.881529959,79.66
40->44,Other,2233.576227292,0.14
40->44,Other motorised,4987.740825429,0.32
40->44,Public transport,52232.482226363,3.38
45->49,Active transport,178977.520493174,13.78
45->49,Car,1048606.496230751,80.76
45->49,Other motorised,7858.073934234,0.61
45->49,Public transport,55293.978598585,4.26
45->49,School transport,7631.979177935,0.59
5->9,Active transport,215573.323870045,19.08
5->9,Car,903624.809700988,79.99
5->9,Other motorised,2917.27157426,0.26
5->9,Public transport,2009.2863356919997,0.18
5->9,School transport,5561.8574030830005,0.49
50->54,Active transport,248457.1362002,19.72
50->54,Car,955399.021162922,75.81
50->54,Other,3329.5782835719997,0.26
50->54,Other motorised,8233.285582905,0.65
50->54,Public transport,43957.947996695,3.49
50->54,School transport,825.770273004,0.07
55->59,Active transport,138145.825896571,13.4
55->59,Car,857469.794592308,83.15
55->59,Other,2129.043739518,0.21
55->59,Other motorised,7045.591938553,0.68
55->59,Public transport,26487.39618121,2.57
60->64,Active transport,197324.459942168,20.36
60->64,Car,745096.836088827,76.89
60->64,Other,5136.288865284,0.53
60->64,Public transport,17362.372506104,1.79
60->64,School transport,4131.299453748,0.43
65->69,Active transport,137303.483689611,18.99
65->69,Car,570711.204546797,78.94
65->69,Other,603.289461167,0.08
65->69,Public transport,13906.851609902,1.92
65->69,School transport,414.322974652,0.06
70->74,Active transport,126994.496100087,20.45
70->74,Car,474830.935582361,76.47
70->74,Other,1943.249936945,0.31
70->74,Other motorised,1186.487346866,0.19
70->74,Public transport,15971.423515818,2.57
75->79,Active transport,94173.228889946,26.62
75->79,Car,246606.236038507,69.7
75->79,Other motorised,682.018873788,0.19
75->79,Public transport,12369.146108163,3.5
80->84,Active transport,30012.570510375,12.94
80->84,Car,200820.707293062,86.57
80->84,Other motorised,1131.158623354,0.49
85->89,Active transport,29374.62666311,26.82
85->89,Car,80130.386870458,73.18
90->94,Active transport,2743.0518974320003,10.22
90->94,Car,24087.25052031,89.78
