income_band,total_weighted_trips,public_transport_trips,pt_share_percent
"$1,000-$1,249 ($52,000-$64,999)",1167798.194940591,59984.095186583,5.14
"$1,250-$1,499 ($65,000-$77,999)",1281814.798556596,39625.260063783,3.09
"$1,500-$1,749 ($78,000-$90,999)",1304877.130714791,50905.600347382,3.9
"$1,750-$1,999 ($91,000-$103,999)",1115428.36450584,60954.746066375,5.46
"$1-$149 ($1-$7,799)",576168.96243995,80788.113061854,14.02
"$150-$299 ($7,800-$15,599)",483608.08217138797,26869.89843455,5.56
"$2,000-$2,999 ($104,000-$155,999)",1945997.1543891178,114469.197143341,5.88
"$3,000-$3,499 ($156,000-$181,999)",1489279.4110842342,56677.644874992,3.81
"$300-$399 ($15,600-$20,799)",619362.322216855,19136.523141969,3.09
"$400-$499 ($20,800-$25,999)",705846.759755828,43451.047712209,6.16
"$500-$649 ($26,000-$33,799)",616665.588242542,37367.540130807996,6.06
"$650-$799 ($33,800-$41,599)",800718.962069682,49659.141386566,6.2
"$800-$999 ($41,600-$51,999)",949361.2356822509,59472.038962244,6.26
Negative income,163580.777217607,17939.011637673,10.97
Nil income,4543510.020044761,146137.312313546,3.22
